id,title,required_skills,min_experience,description
11,Product Designer,"Machine Learning, Pandas, MySQL, GCP, RabbitMQ, Testing, Rust",4,"We are seeking a talented Product Designer to join our growing team. The ideal candidate has 4+ years of experience and proficiency in Machine Learning, Pandas, MySQL, GCP, RabbitMQ. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Rust and GCP and Testing is a plus."
12,Solutions Architect,"C#, Kubernetes, Ansible, PyTorch, CI/CD",4,"We are seeking a talented Solutions Architect to join our growing team. The ideal candidate has 4+ years of experience and proficiency in C#, Kubernetes, Ansible, PyTorch, CI/CD. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Kubernetes and Ansible and PyTorch is a plus."
13,Cloud Engineer,"Deep Learning, GCP, Flask, MySQL, Docker, JavaScript, Terraform",4,"We are seeking a talented Cloud Engineer to join our growing team. The ideal candidate has 4+ years of experience and proficiency in Deep Learning, GCP, Flask, MySQL, Docker. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with MySQL and Terraform and Docker is a plus."
14,Product Manager,".NET, TypeScript, Docker, MongoDB, CI/CD, PostgreSQL, JavaScript, Azure, Elasticsearch, Go",8,"We are seeking a talented Product Manager to join our growing team. The ideal candidate has 8+ years of experience and proficiency in .NET, TypeScript, Docker, MongoDB, CI/CD. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Docker and .NET and Azure is a plus."
15,Software Engineer,"FastAPI, REST API, Spring Boot, Linux",1,"We are seeking a talented Software Engineer to join our growing team. The ideal candidate has 1+ years of experience and proficiency in FastAPI, REST API, Spring Boot, Linux. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Linux and REST API and FastAPI is a plus."
16,Engineering Manager,"GCP, Flask, Vue.js, Testing, HTML, Terraform",8,"We are seeking a talented Engineering Manager to join our growing team. The ideal candidate has 8+ years of experience and proficiency in GCP, Flask, Vue.js, Testing, HTML. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Terraform and HTML and Vue.js is a plus."
17,UI Designer,"GCP, Spring Boot, Flask, BDD, Kafka",5,"We are seeking a talented UI Designer to join our growing team. The ideal candidate has 5+ years of experience and proficiency in GCP, Spring Boot, Flask, BDD, Kafka. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Flask and BDD and Kafka is a plus."
18,Data Scientist,"Kubernetes, MySQL, Django, Redis, Ansible, CI/CD, Scikit-learn, PyTorch, Azure, Angular",0,"We are seeking a talented Data Scientist to join our growing team. The ideal candidate has 0+ years of experience and proficiency in Kubernetes, MySQL, Django, Redis, Ansible. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with PyTorch and Azure and CI/CD is a plus."
19,Research Scientist,"REST API, Tailwind CSS, TensorFlow, NumPy, Rust",3,"We are seeking a talented Research Scientist to join our growing team. The ideal candidate has 3+ years of experience and proficiency in REST API, Tailwind CSS, TensorFlow, NumPy, Rust. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with TensorFlow and Tailwind CSS and NumPy is a plus."
20,UI Designer,"RabbitMQ, Linux, JavaScript, .NET, Spring Boot, TypeScript, Testing, Go, React",10,"We are seeking a talented UI Designer to join our growing team. The ideal candidate has 10+ years of experience and proficiency in RabbitMQ, Linux, JavaScript, .NET, Spring Boot. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with .NET and Spring Boot and Go is a plus."
21,Engineering Manager,"C#, Agile, Machine Learning, Kafka, Rust, Flask, Tailwind CSS, GCP",7,"We are seeking a talented Engineering Manager to join our growing team. The ideal candidate has 7+ years of experience and proficiency in C#, Agile, Machine Learning, Kafka, Rust. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Tailwind CSS and C# and Kafka is a plus."
22,Data Engineer,"FastAPI, RabbitMQ, TDD, GCP, Linux, Kubernetes, MongoDB, Scikit-learn",10,"We are seeking a talented Data Engineer to join our growing team. The ideal candidate has 10+ years of experience and proficiency in FastAPI, RabbitMQ, TDD, GCP, Linux. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Kubernetes and MongoDB and Scikit-learn is a plus."
23,Product Manager,"CI/CD, FastAPI, RabbitMQ, BDD",7,"We are seeking a talented Product Manager to join our growing team. The ideal candidate has 7+ years of experience and proficiency in CI/CD, FastAPI, RabbitMQ, BDD. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with BDD and RabbitMQ and FastAPI is a plus."
24,Solutions Architect,"RabbitMQ, Django, Ansible, MongoDB, Agile, Azure, HTML, Node.js, Microservices, PyTorch",9,"We are seeking a talented Solutions Architect to join our growing team. The ideal candidate has 9+ years of experience and proficiency in RabbitMQ, Django, Ansible, MongoDB, Agile. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Microservices and Azure and Node.js is a plus."
25,Research Scientist,"TDD, React, .NET, Redis",10,"We are seeking a talented Research Scientist to join our growing team. The ideal candidate has 10+ years of experience and proficiency in TDD, React, .NET, Redis. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Redis and .NET and TDD is a plus."
26,Software Engineer,"Docker, C#, Linux, REST API, Vue.js, FastAPI, Flask, MongoDB, GCP, CSS",10,"We are seeking a talented Software Engineer to join our growing team. The ideal candidate has 10+ years of experience and proficiency in Docker, C#, Linux, REST API, Vue.js. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Linux and Flask and FastAPI is a plus."
27,UX Designer,"Testing, PostgreSQL, Azure, Redis, Rust, Angular, REST API, Git, Docker, FastAPI, PyTorch",5,"We are seeking a talented UX Designer to join our growing team. The ideal candidate has 5+ years of experience and proficiency in Testing, PostgreSQL, Azure, Redis, Rust. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Azure and REST API and FastAPI is a plus."
28,Security Engineer,"JavaScript, Ansible, Sass, .NET, Java, C#, AWS",1,"We are seeking a talented Security Engineer to join our growing team. The ideal candidate has 1+ years of experience and proficiency in JavaScript, Ansible, Sass, .NET, Java. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with .NET and Ansible and Sass is a plus."
29,Research Scientist,"React, Deep Learning, Java, TensorFlow, Spring Boot, Azure",2,"We are seeking a talented Research Scientist to join our growing team. The ideal candidate has 2+ years of experience and proficiency in React, Deep Learning, Java, TensorFlow, Spring Boot. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with React and Java and Deep Learning is a plus."
30,Security Engineer,"Python, Scrum, CSS, TensorFlow, BDD",7,"We are seeking a talented Security Engineer to join our growing team. The ideal candidate has 7+ years of experience and proficiency in Python, Scrum, CSS, TensorFlow, BDD. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with TensorFlow and Python and BDD is a plus."
31,Research Scientist,"Docker, RabbitMQ, Elasticsearch, CI/CD, Git, Testing, Data Visualization",6,"We are seeking a talented Research Scientist to join our growing team. The ideal candidate has 6+ years of experience and proficiency in Docker, RabbitMQ, Elasticsearch, CI/CD, Git. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with RabbitMQ and CI/CD and Data Visualization is a plus."
32,Cloud Engineer,"RabbitMQ, Git, JIRA, Rust, Docker, PyTorch, Redis",6,"We are seeking a talented Cloud Engineer to join our growing team. The ideal candidate has 6+ years of experience and proficiency in RabbitMQ, Git, JIRA, Rust, Docker. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Redis and Git and RabbitMQ is a plus."
33,DevOps Engineer,"GCP, Java, Scikit-learn, Ansible, Machine Learning, Angular, Rust, .NET",7,"We are seeking a talented DevOps Engineer to join our growing team. The ideal candidate has 7+ years of experience and proficiency in GCP, Java, Scikit-learn, Ansible, Machine Learning. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Java and GCP and Ansible is a plus."
34,Backend Developer,"Agile, Deep Learning, Rust, Kubernetes, Scrum, NLP, Elasticsearch, TensorFlow, Spring Boot",4,"We are seeking a talented Backend Developer to join our growing team. The ideal candidate has 4+ years of experience and proficiency in Agile, Deep Learning, Rust, Kubernetes, Scrum. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Deep Learning and Spring Boot and Scrum is a plus."
35,Senior Software Engineer,"GraphQL, GCP, NumPy, Microservices",9,"We are seeking a talented Senior Software Engineer to join our growing team. The ideal candidate has 9+ years of experience and proficiency in GraphQL, GCP, NumPy, Microservices. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with GraphQL and Microservices and GCP is a plus."
36,Product Designer,"Linux, Deep Learning, Go, Machine Learning, PostgreSQL, Sass, TypeScript, Angular, Redis, Azure",2,"We are seeking a talented Product Designer to join our growing team. The ideal candidate has 2+ years of experience and proficiency in Linux, Deep Learning, Go, Machine Learning, PostgreSQL. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Redis and Angular and Sass is a plus."
37,UX Designer,"FastAPI, REST API, Scrum, CSS, TensorFlow, MySQL",4,"We are seeking a talented UX Designer to join our growing team. The ideal candidate has 4+ years of experience and proficiency in FastAPI, REST API, Scrum, CSS, TensorFlow. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with FastAPI and Scrum and MySQL is a plus."
38,Backend Developer,"Terraform, CI/CD, Testing, Machine Learning, TensorFlow, Git, Azure, Java, TDD, CSS, REST API",6,"We are seeking a talented Backend Developer to join our growing team. The ideal candidate has 6+ years of experience and proficiency in Terraform, CI/CD, Testing, Machine Learning, TensorFlow. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Testing and Git and Java is a plus."
39,Backend Developer,"Ansible, Go, C#, Kafka, Scikit-learn, React, Docker, MySQL, BDD, AWS, Redis, TypeScript",7,"We are seeking a talented Backend Developer to join our growing team. The ideal candidate has 7+ years of experience and proficiency in Ansible, Go, C#, Kafka, Scikit-learn. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Scikit-learn and C# and MySQL is a plus."
40,Product Manager,"Data Visualization, TypeScript, Scikit-learn, Microservices, Scrum",8,"We are seeking a talented Product Manager to join our growing team. The ideal candidate has 8+ years of experience and proficiency in Data Visualization, TypeScript, Scikit-learn, Microservices, Scrum. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Microservices and Scrum and TypeScript is a plus."
41,Frontend Developer,"Flask, Microservices, FastAPI, Kubernetes, Git, Redis",2,"We are seeking a talented Frontend Developer to join our growing team. The ideal candidate has 2+ years of experience and proficiency in Flask, Microservices, FastAPI, Kubernetes, Git. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Redis and Git and FastAPI is a plus."
42,Security Engineer,"Angular, Python, CSS, BDD, Vue.js, Redis, PyTorch",1,"We are seeking a talented Security Engineer to join our growing team. The ideal candidate has 1+ years of experience and proficiency in Angular, Python, CSS, BDD, Vue.js. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Python and BDD and Angular is a plus."
43,Solutions Architect,"Git, Rust, Flask, Deep Learning",5,"We are seeking a talented Solutions Architect to join our growing team. The ideal candidate has 5+ years of experience and proficiency in Git, Rust, Flask, Deep Learning. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Git and Rust and Deep Learning is a plus."
44,Software Engineer,"Pandas, Terraform, Scrum, Go, NumPy",7,"We are seeking a talented Software Engineer to join our growing team. The ideal candidate has 7+ years of experience and proficiency in Pandas, Terraform, Scrum, Go, NumPy. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Scrum and Pandas and Terraform is a plus."
45,Senior Software Engineer,"REST API, JIRA, Terraform, Kafka, Vue.js, PostgreSQL, Kubernetes, React, .NET, Git, Ansible",0,"We are seeking a talented Senior Software Engineer to join our growing team. The ideal candidate has 0+ years of experience and proficiency in REST API, JIRA, Terraform, Kafka, Vue.js. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with JIRA and .NET and Kubernetes is a plus."
46,Staff Engineer,"Azure, Redis, GCP, BDD, Deep Learning, FastAPI, JavaScript, Kubernetes, MongoDB, NLP",6,"We are seeking a talented Staff Engineer to join our growing team. The ideal candidate has 6+ years of experience and proficiency in Azure, Redis, GCP, BDD, Deep Learning. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Deep Learning and GCP and Redis is a plus."
47,DevOps Engineer,"Kafka, TensorFlow, Testing, Ansible, Linux, Rust, Spring Boot, PostgreSQL, Microservices, Go, Django",5,"We are seeking a talented DevOps Engineer to join our growing team. The ideal candidate has 5+ years of experience and proficiency in Kafka, TensorFlow, Testing, Ansible, Linux. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Microservices and Ansible and PostgreSQL is a plus."
48,UX Designer,"NumPy, CI/CD, Vue.js, Spring Boot, TensorFlow, FastAPI, TDD, Elasticsearch, Machine Learning, Java",2,"We are seeking a talented UX Designer to join our growing team. The ideal candidate has 2+ years of experience and proficiency in NumPy, CI/CD, Vue.js, Spring Boot, TensorFlow. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with TDD and Java and CI/CD is a plus."
49,Senior Software Engineer,"GraphQL, Pandas, Rust, AWS, .NET, RabbitMQ, Scrum, MySQL, Data Visualization, CSS, C#, Elasticsearch",8,"We are seeking a talented Senior Software Engineer to join our growing team. The ideal candidate has 8+ years of experience and proficiency in GraphQL, Pandas, Rust, AWS, .NET. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Pandas and .NET and MySQL is a plus."
50,Product Manager,"Kafka, NumPy, Linux, MySQL, PostgreSQL",10,"We are seeking a talented Product Manager to join our growing team. The ideal candidate has 10+ years of experience and proficiency in Kafka, NumPy, Linux, MySQL, PostgreSQL. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Linux and NumPy and PostgreSQL is a plus."
